"ID","Phase","Workstream","Owner_Role","Task","Depends_On","Effort","Priority","Status","Acceptance_Evidence"
"BOOK-004","Next","Commercial release","Stefan Junk / Product and commercial owner","Complete NameForm rights/safety/copy/media/license/economics and sign P5 release","BOOK-003,REL-001,BRD-001,LEG-001","2-4 d","P0","Not started","signed release manifest and customer package"
"SHELF-001","Now","Product","Stefan Junk / Product and CAD owner","Approve ShelfFit Mini non-stacking envelope, module rules, grip and test criteria","PORT-001","1-2 d","P0","Complete","v0.1.0 requirements and generated concept AUTO_APPROVED 2026-08-26 under the user-authorized project policy"
"SHELF-002","Next","Product","Stefan Junk / CAD owner","Build deterministic common-printer ShelfFit CAD, validation and safe-core 3MF","SHELF-001","3-5 d","P0","Complete","0.1.0-draft.1 CadQuery source, marked STEP/STL, valid DRAFT 3MF and frozen aggregate digital validation PASS through interface stage"
"SHELF-003","Next","Testing","Stefan Junk / Test owner","Print coupons/prototype then three final bin sets; test fit, deflection, grip and cleaning","SHELF-002","3-5 d plus print time","P0","Not started","final-revision physical test report PASS"
"SHELF-004","Next","Commercial release","Stefan Junk / Product and commercial owner","Complete ShelfFit rights/safety/copy/media/license/economics and sign P5 release","SHELF-003,REL-001,LEG-001","2-4 d","P0","Not started","signed release manifest and customer package"
"DESK-001","Next","Product","Stefan Junk / CAD owner","Create common-220 modular derivative of MM-ORG-003 with two drawers, removable six-bin sorter, fit/texture coupons and controlled DRAFT 3MF","SHELF-002","3-5 d","P1","Complete","2.0.0-draft.1 parametric CadQuery/JSON, STEP/STL and valid four-item 3MF; mesh, envelope and interface gates PASS"
"DESK-002","Later","Testing","Stefan Junk / Test owner","Slice MM-ORG-003 Compact, print fit/texture coupons and unchanged prototype, then test cycles, stack retention, loaded anti-tip and appearance","DESK-001","3-5 d plus print time","P1","Not started","exact slicer report plus unchanged physical test report PASS"
"ALEX-001","Next","Product","Stefan Junk / CAD owner","Convert MM-SYS-001 into a standalone common-220 measurement pilot with parametric tray, width gauges and controlled 3MF","DESK-001","2-3 d","P2","Complete","0.2.0-draft.1 CadQuery/JSON, STEP/STL, three width gauges and valid four-object 3MF; digital gates PASS through interface-validation"
"ALEX-002","Later","Testing","Stefan Junk / Test owner","Identify and measure exact furniture revision; print width gauges; update envelope if needed; slice and print unchanged tray","ALEX-001","2-4 d plus print time","P2","Not started","measurement record, selected gauge and unchanged physical fit/use report PASS"
"BROR-001","Next","Product","Stefan Junk / CAD owner","Convert MM-SYS-002 into a standalone common-220 tool-tray measurement pilot with parametric recesses, width gauges and controlled 3MF","ALEX-001","2-3 d","P2","Complete","0.2.0-draft.1 CadQuery/JSON, STEP/STL, three gauges and valid four-object 3MF; digital gates PASS through interface-validation"
"BROR-002","Later","Testing","Stefan Junk / Test owner","Measure exact drawer revision and tools; print gauges; update envelope/recess clearance; slice and print unchanged tray","BROR-001","2-4 d plus print time","P2","Not started","measurement records, selected gauge and unchanged physical drawer/tool-fit report PASS"
"VAL-001","Later","Optional market validation","Stefan Junk / Founder","Optionally interview 10-15 target users about awkward spaces and current alternatives before catalog expansion","PORT-001","3-5 d","P2","Not started","notes and synthesized repeated problems without personal-data excess; not a LAUNCH-001 dependency"
"VAL-002","Later","Optional market validation","Stefan Junk / Product owner","Optionally test drawer/shelf measurement guide with 8 users before configuration or catalog expansion","VAL-001","2-3 d","P2","Not started","completion time, error/variance and revised guide; not a LAUNCH-001 dependency"
"VAL-003","Later","Optional market validation","Stefan Junk / Founder","Optionally run an honest three-product landing/waitlist and price-preference test","BOOK-001,SHELF-001,DRAW-001","3 d setup plus observation","P2","Not started","qualified interest and file-vs-print evidence; no untrue availability claims; not a LAUNCH-001 dependency"
"WEB-001","Now","Engineering","Stefan Junk / Engineering lead","Reconcile the five-commit-behind local website worktree with origin/main without losing the existing local Firebase, brand, rules and E2E changes; preserve main-to-dev and prod-to-production mapping","","1 d","P0","In progress","2026-08-28 audit records exact overlapping paths; completion requires clean documented main and prod branches"
"WEB-002","Now","Engineering","Stefan Junk / Engineering lead","Add repository CI for lint, typecheck, unit, build, Firebase rules and critical E2E; protect main and prod","WEB-001","2-4 d","P0","In progress","origin/main passes lint/typecheck, 25 unit tests, production build and 14 rules tests; E2E is 2/6 until existing local fixes are reconciled; no workflow is committed"
"ENV-001","Now","Cloud/Security","Stefan Junk / Engineering lead","Operate local emulators for development, metrimade-dev as staging/QA and metrimade-store as production; reconcile aliases, branch mapping, regions, identities and rules/index deployment","GOV-001,WEB-001","2-4 d","P0","In progress","both App Hosting backends and europe-west4 Firestore databases verified; .firebaserc staging alias currently targets production and requires correction; see environment-readiness.md"
"SEC-001","Next","Cloud/Security","Stefan Junk / Engineering lead","Configure App Check rollout, secrets, least-privilege service accounts, signed-URL identity, restore drill, budgets and alarms","ENV-001","3-6 d","P0","In progress","PITR and delete protection verified on both Firestore databases; App Check, secret/IAM review, alert evidence and restore drill remain open"
"CAT-001","Next","Catalog","Stefan Junk / Publisher and reviewer","Publish first exact P5 product to metriCreate staging through operator approvals and verify shared-ID metriMade eligibility mapping","DRAW-005 or BOOK-004 or SHELF-004,ENV-001","1 d","P0","Not started","metriCreate catalog/search/detail/sitemap and any metriMade preview map to the same release manifest/hash"
"CAT-002","Later","Catalog","Stefan Junk / Publisher and reviewer","Publish remaining target products to metriCreate staging with brand-specific content and no duplicated release records after each reaches P5","CAT-001,remaining P5 releases","1-2 d","P1","Not started","additional exact releases visible in staging; eligible metriMade previews preserve IDs/revisions; optional for MVP launch"
"PAY-001","Now","Payments/Tax","Stefan Junk / Finance and engineering; tax review external","Decide Germany digital VAT/tax/accounting treatment and configure Stripe test account","GOV-001","2-5 d plus advisor lead time","P0","Not started","approved tax memo/config and test products/prices"
"PAY-002","Next","Payments/Tax","Stefan Junk / Engineering and finance","Configure verified webhook, idempotency, retries, refunds, chargeback and accounting export","PAY-001,ENV-001","2-4 d","P0","In progress","server implementation and unit tests exist on origin/main; Stripe test secrets, endpoint, live account treatment and positive/duplicate/out-of-order/refund E2E evidence remain open"
"LEG-001","Now","Legal","Stefan Junk / Legal owner; counsel review external","Approve operator profile, terms, digital license, privacy, product/safety and Germany country scope","GOV-001,BRD-001","5-15 d plus counsel lead time","P0","Not started","versioned signed legal package matching actual providers and products"
"LEG-002","Next","Legal/Engineering","Stefan Junk / Legal owner and engineering","Implement and test electronic withdrawal function, durable confirmations and support email","LEG-001,WEB-001","2-4 d","P0","In progress","withdrawal route/form exists; no Trigger Email extension is installed in either project and delivery/retry/bounce/durable-confirmation E2E remains open"
"OPS-001","Now","Operations","Stefan Junk / Operations owner","Create support, refund, privacy, rights, safety incident and takedown runbooks with case register","GOV-001","2-3 d","P0","Not started","named owner, monitored contact, templates, SLA and tabletop scenario"
"OPS-002","Next","Operations","Stefan Junk / Operations and engineering","Implement payment/order/entitlement reconciliation and orphaned-storage checks","PAY-002,ENV-001","2-4 d","P0","In progress","catalog reconciliation script exists on origin/main; scheduling, payment/order/entitlement coverage and resolved injected discrepancies remain open"
"E2E-001","Next","QA","Stefan Junk / Engineering and product","Test first metriCreate staging purchase, exact download, expiry, unauthorized access, refund and takedown; verify metriMade-to-metriCreate SKU handoff","CAT-001,PAY-002,LEG-002,OPS-002","2-3 d","P0","Not started","signed test report for exact commit/config/release and preserved cross-brand product context"
"A11Y-001","Next","QA/Legal","Stefan Junk / QA owner","Complete DE content, browser/mobile and accessibility audit of the first product and all critical flows","CAT-001,LEG-001","2-4 d","P1","Not started","documented keyboard/screen-reader/contrast/zoom/browser results"
"LAUNCH-001","Launch","Governance","Stefan Junk / Founder and release owner","Run final launch checklist, rollback/kill-switch drill and written production approval for at least one staged P5 product","E2E-001,A11Y-001,SEC-001,CAT-001","1-2 d","P0","Not started","all P0 gates PASS; exact commit/rules/legal/Stripe configuration and at least one release recorded"
"LAUNCH-002","Launch","Operations","Stefan Junk / Operations owner","Monitor first 10 orders and conduct two-week post-launch review","LAUNCH-001","ongoing 2 weeks","P1","Not started","orders reconciled; support/refund/download/product findings reviewed"
"PRINT-001","Later","Printed fulfillment","Stefan Junk / Operations owner","Qualify one premium consumer-ready metriMade standard SKU, capacity, QC traveler, packaging, carrier, returns and insurance","LAUNCH-002","10-20 d plus pilot","P2","Not started","signed PRINT_FULFILLMENT_READY evidence and enabled metriMade as-is order for one SKU/country"
"PACK-001","Later","Packaging/Compliance","Stefan Junk / Operations and legal owner; compliance review external","Complete LUCID/system participation/packaging records for physical pilot","PRINT-001","2-5 d plus provider lead time","P2","Not started","registrations/contracts/data process and SKU packaging weights"
"CONF-001","Later","Configuration","Stefan Junk / Product and engineering owner","Design metriCreate server-validated parameterization with immutable generated releases and exact metriMade handoff","LAUNCH-002,VAL-002","15-30 d","P2","Not started","cross-domain SKU/revision context, range/negative tests, pricing, review and order/download traceability"
"EXP-001","Later","International","Stefan Junk / Legal, tax and operations owner; reviews external","Create per-country approval matrix before enabling a second country","LAUNCH-002","5-15 d per country","P2","Not started","signed legal/tax/payment/language/support allowlist entry"
