Implementation_Order,New_Build_Rank,Next_Candidate_Rank,SKU_ID,Product,Product_Family,Implementation_Status,Mapped_Working_SKU,Decision_Tier,Priority_Score_0_100,Creation_Effort_1_5,Validation_Effort_1_5,Commercial_Risk_1_5,Trend_Score_0_100,Estimated_Market_Fit_1_5,Market_Evidence_Confidence_1_5,Strategy_Fit_1_5,AM_Differentiation_1_5,Portfolio_Leverage_1_5,Digital_First_Fit_1_5,Economics_1_5,Source_IDs,Scoring_Rationale,Next_Action,Scored_On,Scoring_Version,Score_Status
11,,,SKU-024,Vinyl record-divider label set,"Bookends, vinyl & display stands",MODEL_EXISTS,MM-ORG-027,0 FINISH CURRENT VALIDATION,91.0,1,1,1,78.0,4,3,4,5,5,5,5,S01; S04; S11; S19,"Estimated market fit 4/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
12,,,SKU-025,Snap-on journal pen loop,Journaling & stationery accessories,MODEL_EXISTS,MM-ORG-034,0 FINISH CURRENT VALIDATION,89.0,2,3,1,78.0,5,4,4,5,5,4,5,S01; S04; S11; S16,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 2/5, validation effort 3/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
13,,,SKU-026,Stencil-ruler bookmark set,Journaling & stationery accessories,MODEL_EXISTS,MM-ORG-016,0 FINISH CURRENT VALIDATION,94.0,1,2,1,78.0,5,4,4,5,5,5,5,S01; S04; S11; S16,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
14,,,SKU-047,Stamp and ink-pad desk organizer,Journaling & stationery accessories,MODEL_EXISTS,MM-ORG-035,0 FINISH CURRENT VALIDATION,88.8,2,2,2,77.0,5,4,4,5,5,5,4,S01; S04; S11; S16,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 2/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
15,,,SKU-053,Page-holder thumb tool,Journaling & stationery accessories,MODEL_EXISTS,MM-ORG-023,0 FINISH CURRENT VALIDATION,91.8,1,2,2,78.0,5,4,4,5,5,5,5,S01; S04; S11; S16,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
16,,,SKU-101,Irregular-corner drawer organizer infill,Exact-fit drawer extensions,MODEL_EXISTS,MM-ORG-030,0 FINISH CURRENT VALIDATION,86.8,2,3,2,86.0,5,3,5,5,5,4,3,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 2/5, validation effort 3/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
17,,,SKU-102,Tapered drawer perimeter filler rail set,Exact-fit drawer extensions,MODEL_EXISTS,MM-ORG-009,0 FINISH CURRENT VALIDATION,94.0,1,2,1,86.0,5,3,5,5,5,5,3,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 1/5.","Do not start another model first; close slicer, physical, rights and commercial evidence. Existing next gate: Print a taper gauge; verify removal grip and three drawer finishes.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
18,,,SKU-104,Deep-drawer height riser platform,Exact-fit drawer extensions,MODEL_EXISTS,MM-ORG-036,0 FINISH CURRENT VALIDATION,88.8,1,3,2,88.0,5,3,5,5,5,4,3,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 3/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
19,,,SKU-105,Adapter-and-dongle drawer cassette,Electronics-accessory organization,MODEL_EXISTS,MM-ORG-015,0 FINISH CURRENT VALIDATION,91.8,1,2,2,88.0,5,3,5,5,5,4,4,S31; S09; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
20,,,SKU-107,Sewing bobbin and presser-foot drawer cassette,Sewing and needlecraft organization,MODEL_EXISTS,MM-ORG-037,0 FINISH CURRENT VALIDATION,88.8,1,3,2,96.0,5,3,5,5,5,4,3,S33; S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 3/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
21,,,SKU-109,Coin-capsule and medal drawer cassette,Collector drawer organization,MODEL_EXISTS,MM-ORG-039,0 FINISH CURRENT VALIDATION,87.8,1,2,2,91.0,5,3,4,5,5,3,4,S34; S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 4/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
22,,,SKU-112,Photo and postcard archive drawer divider,Memory-keeping organization,MODEL_EXISTS,MM-ORG-013,0 FINISH CURRENT VALIDATION,95.0,1,1,1,98.0,5,4,5,5,5,3,3,S01; S31; S33; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
23,,,SKU-115,Drawer measurement gauge and clearance coupon kit,Measurement and fit tools,MODEL_EXISTS,MM-ORG-018,0 FINISH CURRENT VALIDATION,90.0,1,2,1,88.0,5,3,5,3,5,5,3,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 3/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
24,,,SKU-118,Deep-shelf pull-tab bin front,ShelfFit accessories,MODEL_EXISTS,MM-ORG-024,0 FINISH CURRENT VALIDATION,88.8,1,3,2,88.0,5,3,5,5,5,4,3,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 3/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
25,,,SKU-123,Shelf-side e-reader and book dock,Reading and shelf organization,MODEL_EXISTS,MM-ORG-031,0 FINISH CURRENT VALIDATION,89.8,1,2,2,94.0,5,3,5,5,5,3,3,S01; S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
26,,,SKU-125,Wardrobe belt and scarf shelf comb,Wardrobe and shelf organization,MODEL_EXISTS,MM-ORG-020,0 FINISH CURRENT VALIDATION,92.0,1,1,1,91.0,5,3,5,3,5,4,4,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 3/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
27,,,SKU-147,Paired thread-and-bobbin rack,Sewing and needlecraft organization,MODEL_EXISTS,MM-ORG-032,0 FINISH CURRENT VALIDATION,89.8,1,2,2,91.0,5,3,5,5,5,3,3,S33; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
28,,,SKU-148,Embroidery-floss project palette dock,Sewing and needlecraft organization,MODEL_EXISTS,MM-ORG-014,0 FINISH CURRENT VALIDATION,95.0,1,1,1,93.0,5,3,5,5,5,4,3,S33; S01; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
29,,,SKU-150,Crochet-hook diameter rack,Sewing and needlecraft organization,MODEL_EXISTS,MM-ORG-011,0 FINISH CURRENT VALIDATION,96.0,1,1,1,91.0,5,3,5,5,5,4,4,S33; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
30,,,SKU-156,Diamond-painting tray staging rack,Bead and mosaic craft organization,MODEL_EXISTS,MM-ORG-033,0 FINISH CURRENT VALIDATION,89.8,1,2,2,94.0,5,3,5,4,5,4,4,S33; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
31,,,SKU-158,Craft stamp and die index rack,Paper-craft organization,MODEL_EXISTS,MM-ORG-028,0 FINISH CURRENT VALIDATION,90.8,1,2,2,94.0,5,4,5,5,5,3,3,S33; S01; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
32,,,SKU-160,Craft-night modular personal supply caddy,Group craft organization,MODEL_EXISTS,MM-ORG-029,0 FINISH CURRENT VALIDATION,90.8,1,2,2,96.0,5,3,5,4,5,4,5,S33; S01; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
33,,,SKU-173,Modular pocket-emptying tray with coin slope,Personalized functional organization,MODEL_EXISTS,MM-ORG-017,0 FINISH CURRENT VALIDATION,94.0,1,1,1,97.0,5,3,5,4,5,4,4,S01; S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
34,,,SKU-180,Milestone photo-and-card desk display block,Personalized functional decor,MODEL_EXISTS,MM-ORG-038,0 FINISH CURRENT VALIDATION,92.0,1,1,1,92.0,5,3,5,3,5,4,4,S01; S11; S19; S24; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 3/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
35,,,SKU-196,Stationery-refill inventory tray,Desk and stationery organization,MODEL_EXISTS,MM-ORG-012,0 FINISH CURRENT VALIDATION,96.0,1,1,1,95.0,5,3,5,5,5,4,4,S31; S01; S33; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
36,,,SKU-197,Label-printer tape-cartridge rack,Office and small-business organization,MODEL_EXISTS,MM-ORG-019,0 FINISH CURRENT VALIDATION,92.8,1,2,2,94.0,5,3,5,5,5,5,4,S31; S01; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 2/5 and commercial risk 2/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
37,,,SKU-199,Eyeglass-case shelf corral with dividers,Personal-item organization,MODEL_EXISTS,MM-ORG-021,0 FINISH CURRENT VALIDATION,92.0,1,1,1,91.0,5,3,5,3,5,4,4,S31; S11; S19; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 3/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Print the declared first-fit coupon or gauge, then the unchanged candidate; record physical fit, use, cycle, safety, rights and commercial-release evidence.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
38,1,1,SKU-266,Craft-night personal boundary tray,Social and paper-craft organization,NOT_STARTED,,1 NEXT — DEMAND TEST THEN CAD,96.0,1,1,1,91.0,5,3,5,5,5,5,3,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Check German search/competition and collect at least five qualified problem signals; if positive, implement the smallest coupon or prototype. Design gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
39,2,2,SKU-263,Washi sample-card index base,Social and paper-craft organization,NOT_STARTED,,1 NEXT — DEMAND TEST THEN CAD,95.0,1,1,1,90.0,5,3,5,4,5,5,4,S33; S01; S32,"Estimated market fit 5/5 with evidence confidence 3/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 5/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Check German search/competition and collect at least five qualified problem signals; if positive, implement the smallest coupon or prototype. Design gate: Confirm the smallest and largest real formats, then print the densest compartment coupon before a full set.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
40,3,3,SKU-236,Traveler-notebook template station,Journaling and writing rituals,NOT_STARTED,,1 NEXT — DEMAND TEST THEN CAD,94.0,2,2,1,94.0,5,4,5,5,5,5,4,S36; S01; S32,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 5/5; additive differentiation 5/5; portfolio leverage 5/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Check German search/competition and collect at least five qualified problem signals; if positive, implement the smallest coupon or prototype. Design gate: Confirm one real item set and print a representative slot/edge coupon before the complete desk object.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
41,4,4,SKU-229,Postcard-writing angle stand,Pen-pal and correspondence organization,NOT_STARTED,,1 NEXT — DEMAND TEST THEN CAD,93.0,1,1,1,89.0,5,4,5,4,4,5,4,S36; S01; S32,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Check German search/competition and collect at least five qualified problem signals; if positive, implement the smallest coupon or prototype. Design gate: Verify the declared stationery formats with blank samples and print one slot/label coupon before the complete organizer.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
42,5,5,SKU-231,Fountain-pen and notebook desk bridge,Journaling and writing rituals,NOT_STARTED,,1 NEXT — DEMAND TEST THEN CAD,93.0,1,1,1,94.0,5,4,5,4,4,5,4,S36; S01; S32,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Check German search/competition and collect at least five qualified problem signals; if positive, implement the smallest coupon or prototype. Design gate: Confirm one real item set and print a representative slot/edge coupon before the complete desk object.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
43,6,6,SKU-234,Bookmark rotation stand,Journaling and writing rituals,NOT_STARTED,,1 NEXT — DEMAND TEST THEN CAD,93.0,1,1,1,92.0,5,4,5,4,4,5,4,S36; S01; S32,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Check German search/competition and collect at least five qualified problem signals; if positive, implement the smallest coupon or prototype. Design gate: Confirm one real item set and print a representative slot/edge coupon before the complete desk object.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
44,7,7,SKU-239,Ink-swatch card stepped rail,Journaling and writing rituals,NOT_STARTED,,1 NEXT — DEMAND TEST THEN CAD,93.0,1,1,1,93.0,5,4,5,4,4,5,4,S36; S01; S32,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 4/5; creation effort 1/5, validation effort 1/5 and commercial risk 1/5.","Check German search/competition and collect at least five qualified problem signals; if positive, implement the smallest coupon or prototype. Design gate: Confirm one real item set and print a representative slot/edge coupon before the complete desk object.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
45,8,8,SKU-240,Notebook-band and charm staging tray,Journaling and writing rituals,NOT_STARTED,,1 NEXT — DEMAND TEST THEN CAD,92.0,2,2,1,93.0,5,4,5,4,5,5,4,S36; S01; S32,"Estimated market fit 5/5 with evidence confidence 4/5; strategy fit 5/5; additive differentiation 4/5; portfolio leverage 5/5; creation effort 2/5, validation effort 2/5 and commercial risk 1/5.","Check German search/competition and collect at least five qualified problem signals; if positive, implement the smallest coupon or prototype. Design gate: Confirm one real item set and print a representative slot/edge coupon before the complete desk object.",2026-09-04,1.3,PLANNING ESTIMATE — NOT RELEASE APPROVAL
