"SKU_ID","Product","Product_Family","Concept_Type","Customer_Job","Target_Segment","Trend_Signal","Strategy_Fit","AM_Advantage","Customer_Inputs","Parametric_Variables","Max_L_mm","Max_W_mm","Max_H_mm","Primary_Material","Supports","Difficulty","Offer_Mode","Digital_Price_Band_EUR","Printed_Price_Band_EUR","Risk_Score","Risk_or_Limit","Opportunity_Score","Launch_Wave","Source_IDs","Design_Status","Next_Gate","Notes","Trend_Source_Strength_0_30","Trend_Signal_Magnitude_0_30","Trend_MetriMade_Fit_0_25","Trend_Whitespace_0_15","Trend_Score_0_100","Trend_Score_Basis","Trend_Score_Status","Trend_Score_Assessed_On","Trend_Score_Version"
"SKU-111","Eyeglasses drawer channel insert","Personal-item organization","New","Store several pairs without lenses touching each other or the drawer base.","Adults with multiple frames; small-bedroom users","IKEA 2026 emphasizes meaningful possessions and organized access rather than disposal.","Core — defined-set organization","Frame width; folded height and bridge keep-outs can be matched to the collection.","Drawer size; folded frame envelopes; pair count","channel width; bridge relief; separator height; pad allowance","220","180","55","PLA with TPU pads","None","Easy","Both after validation","9-16","28-52","2","No optical protection guarantee; validate surface contact and cleanliness.","90","Wave 1","S31; S11; S19; S32","P0 research backlog","Print three channel profiles and run scratch/abrasion tests with sacrificial lenses.","Freestanding drawer use avoids the mounting burden of a display rail.","30","24","25","12","91","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-112","Photo and postcard archive drawer divider","Memory-keeping organization","New","Sort prints; postcards and ticket-sized paper keepsakes by date or theme in a fitted drawer.","Journalers; families; travelers and collectors","Etsy 2026 reports memory-journal growth; IKEA 2026 finds 82% keep sentimental objects.","Core — personalized memory organization","Exact paper formats; drawer width and custom label taxonomy are naturally parametric.","Drawer size; media sizes; category list; label text","lane width; divider spacing; tab position; text; index order","220","180","80","PLA","None","Easy","Both after validation","8-15","24-48","1","Dry indoor storage only; no archival or moisture-protection claim.","93","Wave 1","S01; S31; S33; S11; S19; S32","P0 research backlog","Test paper snagging; tab legibility and three common photo formats.","Strong personalization without reproducing customer photos.","30","30","25","13","98","Primary-source strength 30/30 (S01; S31; S33); signal magnitude 30/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 13/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-113","Remote-control drawer cradle with cable route","Living-room organization","New","Give remotes a shaped home inside a drawer while routing one charging lead to rechargeable units.","Multi-device households and media rooms","IKEA 2026 reports time lost finding items and cable-heavy catch-all drawers.","Core — exact-fit organization","Mixed remote envelopes and button keep-outs are easy to capture with a guided measurement card.","Drawer size; remote envelopes; cable diameter; connector side","cradle width; angle; button keep-out; cable path; labels","220","180","55","PLA or PETG","None","Moderate","Digital first; printed later","9-16","26-48","3","Passive storage only; avoid heat buildup and button activation; no charging electronics included.","89","Wave 2","S31; S09; S11; S15; S19; S32","P0 research backlog","Use inert remote blocks to validate clearance; then test cable pinch and heat around one real device.","Different from a grip sleeve: drawer location and retrieval are the customer job.","30","25","25","14","94","Primary-source strength 30/30 (S31; S09); signal magnitude 25/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 14/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-114","Clip-on label-window kit for organizer bins","Label and revision system","Improvement of SKU-023","Add replaceable paper or printed labels to existing bins without reprinting the bin body.","Home organizers; makers; shared households","IKEA 2026 finds broad clutter and ownership tension; visible homes reduce ambiguity.","Core — reusable portfolio interface","One clip family can serve multiple bin lip thicknesses; label content remains replaceable.","Bin lip thickness; label size; clip count","clip gap; spring thickness; window size; icon/text option","90","35","25","PETG","None","Easy","Both after validation","5-10","12-28","2","Small detachable clips; adult-use labeling; surface marking and fatigue tests.","94","Wave 1","S31; S11; S19; S32","P0 research backlog","Run lip-thickness coupon sweep and 500 attach/remove cycles.","Platform accessory with repeat-purchase and cross-family value.","30","24","25","9","88","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 9/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-115","Drawer measurement gauge and clearance coupon kit","Measurement and fit tools","Improvement of SKU-001","Help customers capture internal corners; taper; radius and required clearance before ordering a full organizer.","First-time exact-fit customers and makers","The stated business moat is guided measurement and error prevention; IKEA 2026 confirms the problem scale.","Core — measurement moat","A cheap physical gauge reduces support and remake risk across every drawer product.","Printer process; expected drawer materials; target clearance range","corner radii; taper scale; clearance steps; label language","180","90","12","PLA or PETG","None","Easy","Digital first; printed later","4-8","9-18","1","Measurement aid only; instructions must state uncertainty and units clearly.","97","Wave 1","S31; S11; S19; S32","P0 research backlog","Validate readings against calipers in ten real drawers and measure customer error.","Highest platform leverage; may become a low-cost lead product.","30","24","25","9","88","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 9/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-116","Shelf-depth book-row backstop","Exact-fit shelf organization","New","Keep books aligned at a chosen setback on shelves that are deeper than the collection.","Readers; home offices; small libraries","IKEA 2026 favors intentional keeping while Etsy 2026 shows an analog and display revival.","Core — exact-fit shelf organization","Depth-specific lightweight rails reclaim visual order with very little material.","Shelf depth; desired setback; row length; book load class","rail depth; segment length; connector; anti-slip pad allowance","220","45","35","PLA","None","Easy","Both after validation","6-12","18-36","2","Non-structural positioning aid; no falling-object prevention claim.","92","Wave 1","S31; S01; S11; S19; S32","P0 research backlog","Test three shelf finishes; segment joints and a representative book row.","Pairs naturally with existing bookend products.","30","25","25","12","92","Primary-source strength 30/30 (S31; S01); signal magnitude 25/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-117","Cubby-fit handbag divider set","Wardrobe and shelf organization","New","Keep soft bags upright and separated in a specific cubby without permanent installation.","Adults with compact wardrobes and handbag collections","IKEA 2026 links smaller homes with the need to retain meaningful possessions intentionally.","Core — exact-fit shelf organization","Divider height; base depth and spacing adapt to cubby and bag mix.","Cubby width/depth/height; bag widths; divider count","base depth; divider height; spacing; edge radius; labels","220","200","220","PLA","None","Easy","Digital first; printed later","10-18","30-64","2","Light soft-goods organization only; freestanding; no shelf-load claim.","90","Wave 2","S31; S11; S19; S32","P0 research backlog","Prototype modular 200 mm bases; test tip and edge contact with varied bags.","No fashion-brand references or bag silhouettes required.","30","24","25","12","91","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-118","Deep-shelf pull-tab bin front","ShelfFit accessories","Improvement of SKU-002","Add a comfortable removable pull face and label to deep bins without replacing the bin.","Small-home; pantry-excluded and office storage users","IKEA 2026 highlights smaller living spaces and hidden clutter; exact access is valuable.","Core — reusable shelf interface","Front geometry can match bin wall; finger size; label and visual style.","Bin front width; wall thickness; preferred grip; label","clip gap; handle depth; label window; corner radius","180","50","55","PETG","None","Easy","Both after validation","5-10","14-30","2","Light pull force only; no lifting a loaded bin; verify clip fatigue.","93","Wave 1","S31; S11; S19; S32","P0 research backlog","Build bin-wall coupon matrix and test 500 pulls at defined contents mass.","Cross-sell accessory for ShelfFit and future bins.","30","24","25","9","88","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 9/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-119","L-shaped shelf-corner micro-bin","Exact-fit shelf organization","New","Use the dead L-shaped corner around a vertical obstruction or beside a narrower object.","Renters; home-office and craft users","IKEA 2026 reports shrinking living spaces and persistent clutter.","Core — awkward-space recovery","Polygonal footprints and removable internal cups are straightforward to generate from measurements.","Shelf envelope; obstruction rectangle; access direction; contents","outline; wall; height; scoop corner; optional label","220","220","120","PLA","None","Moderate","Digital first; printed later","10-18","28-58","2","Freestanding dry storage; customer outline error can cause binding.","91","Wave 1","S31; S11; S19; S32","P0 research backlog","Create paper outline workflow and test around three common shelf obstructions.","Extends ShelfFit beyond rectangular bins.","30","24","25","12","91","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-120","Light-duty shelf riser bridge","Exact-fit shelf organization","New","Create a second low level for light objects inside a short shelf bay.","Desk; vanity and collectible-display users","IKEA 2026 shows demand for using limited space without strict minimalism.","Core adjacent — modular vertical organization","Exact bay width and modular legs allow support-free parts inside a common printer.","Shelf bay; desired lift; object footprints; load target","deck modules; leg spacing; joint; lip; pad allowance","220","200","120","PETG","None","Moderate","Digital first; printed later","12-22","38-78","3","Light indoor objects only; load and creep qualification required; not furniture.","84","Wave 2","S31; S11; S19; S32","P0 research backlog","Test modular joint; 30-day creep and tip with a conservative 1 kg target.","Do not use structural shelf language until qualified.","30","24","22","12","88","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 22/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-121","Clip-under-shelf paper tray","Under-shelf micro-storage","New","Store a small stack of notebooks or loose paper below a shelf without drilling.","Home offices; dorms and craft desks","IKEA 2026 finds smaller spaces and organization tension; Michaels 2026 shows analog activity growth.","Core adjacent — awkward-space recovery","Shelf thickness; paper format and clip preload can be tuned with replaceable coupons.","Shelf thickness; depth; paper format; stack mass","clip gap; spring; tray width; segment joint; stop lip","220","210","70","PETG","None","Moderate","Digital first; printed later","10-18","30-60","3","Light paper only; retention; surface marking and creep tests required.","83","Wave 2","S31; S33; S11; S19; S32","P0 research backlog","Print clip sweep; test 500 installs and 30-day load on three shelf finishes.","No wall mounting; shelf compatibility must be measured.","30","25","22","13","90","Primary-source strength 30/30 (S31; S33); signal magnitude 25/30; metriMade strategy fit 22/25; nonduplicate portfolio whitespace 13/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-122","Clip-under-shelf eyeglasses rack","Under-shelf micro-storage","Variation of SKU-111","Hang folded eyeglasses below a shelf with soft contact points and no wall holes.","Adults with compact desks or wardrobes","IKEA 2026 emphasizes accessible homes for meaningful personal possessions.","Core adjacent — defined-set storage","Clip thickness; frame spacing and TPU contact sleeves fit the installation.","Shelf thickness; frame widths; pair count","clip gap; rail length; spacing; TPU pad; end stop","220","80","60","PETG with TPU pads","None","Moderate","Both after validation","8-14","24-46","3","Light objects only; scratch; drop and shelf-marking risks.","82","Wave 2","S31; S11; S19; S32","P0 research backlog","Run frame abrasion and accidental-bump drop tests after clip qualification.","Offer only after the freestanding drawer variant proves contact materials.","30","24","22","7","83","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 22/25; nonduplicate portfolio whitespace 7/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-123","Shelf-side e-reader and book dock","Reading and shelf organization","New","Park an e-reader and current book together in a narrow shelf-side footprint.","Readers; commuters and small-bedroom users","Etsy 2026 reports analog reading and memory rituals while homes remain space constrained.","Core — compact functional organization","Case thickness; book width and shelf height create meaningful measured variants.","Device envelope; case thickness; book thickness; shelf height","device slot; book slot; cable notch; base depth; angle","180","120","180","PLA","None","Easy","Both after validation","8-15","24-48","2","Passive dock only; keep connectors and ventilation clear; no charging parts.","90","Wave 1","S01; S31; S11; S19; S32","P0 research backlog","Test five case thicknesses and paperback/hardcover stability.","Avoid device-brand styling; use factual fit after tests.","30","25","25","14","94","Primary-source strength 30/30 (S01; S31); signal magnitude 25/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 14/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-124","Cubby-fit vertical mail sorter","Paper and entryway organization","New","Sort incoming mail; receipts and action papers in a freestanding unit fitted to one cubby.","Households; micro-offices and rentals","IKEA 2026 identifies clutter movement before guests and time lost finding items.","Core — exact-fit defined-set organization","Lane count; paper format; label language and cubby dimensions are easily parameterized.","Cubby envelope; paper formats; categories; desired capacity","lane widths; divider height; front cutout; labels; base depth","220","200","220","PLA","None","Easy","Both after validation","10-18","32-64","2","Dry paper only; freestanding; no confidential-document security claim.","92","Wave 1","S31; S11; S19; S32","P0 research backlog","Test A4 fold; C5/DL envelopes; finger access and tip stability.","Freestanding alternative to the higher-risk wall entry shelf.","30","24","25","14","93","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 14/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-125","Wardrobe belt and scarf shelf comb","Wardrobe and shelf organization","New","Separate rolled belts and scarves so each remains visible and removable from a shelf.","Adults with compact wardrobes","IKEA 2026 reports meaningful collections and smaller spaces; organization supports keeping rather than discarding.","Core — defined-set shelf organization","Slot widths and comb depth adapt to soft-goods mix with low material use.","Shelf depth; item diameters; count; preferred labels","slot pitch; comb depth; divider height; label tabs; module split","220","120","100","PLA","None","Easy","Both after validation","7-13","20-40","1","Dry soft-goods storage; no load-bearing claim.","89","Wave 2","S31; S11; S19; S32","P0 research backlog","Test snagging; edge radius and module connection with varied fabrics.","Simple low-risk product with repeatable width variants.","30","24","25","12","91","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-126","Cap and brim shelf separator","Wardrobe and shelf organization","New","Keep soft caps upright and prevent brim crushing in a fitted shelf row.","Cap collectors; sports and streetwear buyers","eBay 2025 shows sustained recommerce and passion-led collecting; IKEA 2026 supports organized meaningful possessions.","Core adjacent — defined-set shelf organization","Cap width; brim depth and shelf envelope vary enough to reward parameterization.","Shelf envelope; cap count; folded profile; label preference","lane width; brim cradle; divider height; stop; labels","220","200","180","PLA","None","Easy","Both after validation","8-15","24-50","2","Storage only; no preservation or authentication claim; avoid team logos.","87","Wave 2","S34; S31; S11; S19; S32","P0 research backlog","Prototype low-contact brim supports and test with generic sacrificial caps.","Use customer labels only under content policy; no branded geometry.","30","25","22","12","89","Primary-source strength 30/30 (S34; S31); signal magnitude 25/30; metriMade strategy fit 22/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-127","Rolled-towel shelf divider","Wardrobe and shelf organization","New","Keep small rolled towels separated and visible on a narrow linen shelf.","Small bathrooms; guest rooms and short-term rentals","IKEA 2026 reports storage pressure in smaller homes and recurring clutter conflict.","Core — exact-fit shelf organization","Divider count and shelf depth create support-free modules tailored to the available bay.","Shelf depth; usable width; towel roll diameter; count","lane width; divider height; base depth; front stop; module joint","220","180","160","PETG","None","Easy","Both after validation","8-14","24-48","2","Dry-shelf use only; not for wet shower zones; cleaning validation required.","86","Wave 2","S31; S11; S19; S32","P0 research backlog","Test moisture cleaning; edge snag and tip with three towel sizes.","Keep the claim to organization; no hygiene claim.","30","24","25","12","91","Primary-source strength 30/30 (S31); signal magnitude 24/30; metriMade strategy fit 25/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
"SKU-128","Handbag handle support insert","Wardrobe and shelf organization","New","Support soft bag handles in a gentle arch so bags remain upright without sharp creases.","Adult handbag owners and recommerce sellers","eBay 2025 shows strong recommerce and enthusiast participation; storage aids listing readiness.","Core adjacent — collection care organization","Handle span; arch radius and base fit can be tailored without copying product appearance.","Bag interior width; handle span; desired lift; shelf space","arch radius; span; pad allowance; base width; label","180","120","160","PLA with TPU pad","None","Moderate","Both after validation","9-16","28-56","2","No conservation; shape-retention or luxury-protection guarantee.","84","Wave 2","S34; S31; S11; S19; S32","P0 research backlog","Test pressure marks and stability with unbranded sample bags.","Generic contact geometry only; never reproduce branded hardware.","30","25","22","12","89","Primary-source strength 30/30 (S34; S31); signal magnitude 25/30; metriMade strategy fit 22/25; nonduplicate portfolio whitespace 12/15. Directional planning judgment; no German product-level demand proof.","DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND","2026-09-01","1.0"
