Record_Key,Record_Type,Record_ID,Parent_SKU_ID,Product,Product_Path,Purpose_or_Intended_Use,Purpose_Documented,Trend_Score_0_100,Priority_Score_0_100,Current_Preflight_Short,Complexity,Readiness,Criticality,Current_Lane,Wave,Advancement_Potential,Suggested_Target_R,Specific_Variant_IDs,Specific_Variant_Status,Bottleneck,Exact_Next_Evidence,Evidence_Boundary,Assessment_Status,Assessed_On,Register_Version
RESEARCH:SKU-011,RESEARCH_IDEA,SKU-011,,Mahjong rack-and-pusher set,,Combine tile rack and matching pusher in a personalized set.,YES,91.0,82.0,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-012,RESEARCH_IDEA,SKU-012,,Personalized modular mahjong rack set,,Provide four full-length racks assembled from printer-friendly modules.,YES,91.0,82.0,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-013,RESEARCH_IDEA,SKU-013,,Business QR-code tabletop sign,,Display a customer-provided URL or payment/review QR code in a branded stand.,YES,84.0,84.0,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,W2 LOW-COMPLEXITY,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-014,RESEARCH_IDEA,SKU-014,,Personalized desk nameplate,,Create a name/title plate sized to a desk or reception area.,YES,84.0,91.0,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-015,RESEARCH_IDEA,SKU-015,,Mahjong tile sorting tray set,,Sort tiles before play in stackable trays sized to a tile set.,YES,90.0,85.0,C1 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C1,R0–R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-016,RESEARCH_IDEA,SKU-016,,Travel mahjong rack segments,,Provide compact rack segments that pack flat and connect at the table.,YES,89.0,80.8,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-017,RESEARCH_IDEA,SKU-017,,Fold-flat travel phone stand,,Provide a pocket-size stand that folds or snaps flat for travel.,YES,91.0,85.0,C1–C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C1–C2,R0–R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-018,RESEARCH_IDEA,SKU-018,,Personalized pen and stationery caddy,,"Organize pens, scissors, notes and phone in one personalized caddy.",YES,94.0,96.0,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-019,RESEARCH_IDEA,SKU-019,,Dry sculptural statement vase,,Create a distinctive made-to-order decorative vessel with chosen texture and proportions.,YES,87.0,67.0,C2–C3 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K1,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-020,RESEARCH_IDEA,SKU-020,,Dual game-controller stand,,Display and store two controllers in a compact custom arrangement.,YES,86.0,75.0,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-021,RESEARCH_IDEA,SKU-021,,Freestanding headphone stand,,Support a specific headband shape without creating pressure points.,YES,86.0,75.0,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-022,RESEARCH_IDEA,SKU-022,,Large tablet display stand,,"Support a tablet for recipes, video calls or media at a comfortable angle.",YES,92.0,83.8,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-023,RESEARCH_IDEA,SKU-023,,Labelable small-parts bin set,,Create a compact set of bins sized to a hobbyist's parts inventory.,YES,95.0,91.8,C2 · R1 · K1 · Lane E · LOW_UNKNOWN,C2,R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-024,RESEARCH_IDEA,SKU-024,,Vinyl record-divider label set,,"Create customized alphabetical, genre or collection dividers.",YES,78.0,91.0,C2 · R2 · K1 · Lane E · LOW_UNKNOWN,C2,R2,K1,E,W2 LOW-COMPLEXITY,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-025,RESEARCH_IDEA,SKU-025,,Snap-on journal pen loop,,Fit a pen loop to a specific notebook cover thickness and pen diameter.,YES,78.0,89.0,C3 · R2 · K1 · Lane E · LOW_UNKNOWN,C3,R2,K1,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-026,RESEARCH_IDEA,SKU-026,,Stencil-ruler bookmark set,,"Combine journal stencils, measurement marks and bookmarks in a personalized set.",YES,78.0,94.0,C2 · R2 · K1 · Lane C · LOW_UNKNOWN,C2,R2,K1,C,W2 LOW-COMPLEXITY,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,"Concept inputs exist, but the exact named-interface and/or exact process baseline needed for R3 is open.","Replace the generic/E2 interface route with E3 nominal evidence for one named variant, pin the exact process, and define a measurable coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-027,RESEARCH_IDEA,SKU-027,,Personalized event place-card token set,,Create reusable names or table tokens for a specific guest list.,YES,84.0,83.8,C1–C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C1–C2,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-028,RESEARCH_IDEA,SKU-028,,Mahjong score-marker station,,"Organize dealer markers, dice and score tokens in one personalized station.",YES,89.0,85.0,C1 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C1,R0–R1,K1,E,W1 HIGH-TREND / LOW-COMPLEXITY,HIGH,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-029,RESEARCH_IDEA,SKU-029,,Glass-tube bud-vase holder,,Arrange standard removable glass tubes in a custom sculptural holder.,YES,87.0,64.8,C2–C3 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2–C3,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-030,RESEARCH_IDEA,SKU-030,,Vinyl 'Now Playing' display stand,,Display one record jacket at a chosen angle and footprint.,YES,79.0,82.0,C2 · R0–R1 · K1 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1,E,W2 LOW-COMPLEXITY,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-031,RESEARCH_IDEA,SKU-031,,City skyline and street-map panel,,Turn a chosen city or neighborhood into a framed 3D wall panel.,YES,85.0,73.8,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-032,RESEARCH_IDEA,SKU-032,,Custom topographic relief tile,,Turn a chosen location into a sized 3D terrain or contour wall tile.,YES,85.0,73.8,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-033,RESEARCH_IDEA,SKU-033,,Modular botanical relief set,,Create a coordinated set of textured botanical panels sized to a wall.,YES,85.0,73.8,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-034,RESEARCH_IDEA,SKU-034,,Wedding or event table-number set,,Generate a coordinated set of table numbers in the event's style.,YES,85.0,80.8,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-035,RESEARCH_IDEA,SKU-035,,Under-monitor snap-in drawer,,Add a fitted low-profile drawer below a monitor stand or shelf.,YES,94.0,82.8,C3 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C3,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
RESEARCH:SKU-036,RESEARCH_IDEA,SKU-036,,Parametric under-desk cable raceway,,Route power and data cables under a desk with modules sized to the installation.,YES,94.0,85.8,C2 · R0–R1 · K1–K2 · Lane E · LOW_UNKNOWN,C2,R0–R1,K1–K2,E,W3 CONTROLLED,MEDIUM,R3 NOMINAL DESIGN INPUTS,,NO SPECIFIC CHILD ADDED IN THIS PASS,Scope or interface remains generic and nominal interface/process/verification evidence is incomplete.,"Name one exact product revision, published standard, or measured interface; record E3 nominal data, pin one exact manufacturing profile, and define a thresholded interface coupon.","This is a portfolio planning assessment. Market score, C/R/K/lane and product-release evidence remain separate.",COMPLETE PORTFOLIO TRIAGE — NOT RELEASE APPROVAL,2026-08-31,1.0
