"Record_ID","Working_SKU","Product_or_Model","Category","Source_Path","Origin_Class","Strategy_Fit","Lifecycle_Stage","Commercial_Existing","Digital_Evidence","Physical_Evidence","Rights_Provenance","Safety_Risk","Digital_Offer","Printed_Offer","Website_Status","Initial_Portfolio_Role","Priority","Next_Gate","Notes","Model_Status","Model_Evidence_Path","Model_Audit_Date"
"PORT-010","MM-ART-001","Fox Mesh Collection","Decorative mesh","products/art-decor/mm-art-001-fox-mesh-collection","Unclassified local mesh","Off-strategy","P1 Model present","No","STL/OBJ/GLB files found","No product tests","UNKNOWN - source/reference chain not documented","Unknown","Block","Block","No catalog item","Not initial","HOLD","Establish provenance and product concept or archive from commercial backlog","Raw mesh variants are not a product release","YES — model artifact present","products/art-decor/mm-art-001-fox-mesh-collection/textured_mesh.3mf","2026-08-28"
"PORT-011","MM-AUTO-001","Opel Grandland 2018 Mesh","Vehicle-themed model","products/art-decor/mm-auto-001-opel-grandland-2018-mesh","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No product tests","BLOCK - brand/design/reference rights not documented","High IP/brand risk","Block","Block","No catalog item","Not initial","HOLD","Do not commercialize without explicit rights and similarity review","Vehicle-branded subject","YES — model artifact present","products/art-decor/mm-auto-001-opel-grandland-2018-mesh/Untitled.3mf","2026-08-28"
"PORT-012","MM-ART-002","Plant Mesh","Decorative mesh","products/art-decor/mm-art-002-plant-mesh","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh found","No tests","UNKNOWN","Unknown","Block","Block","No catalog item","Not initial","HOLD","Document provenance and define a product","","YES — model artifact present","products/art-decor/mm-art-002-plant-mesh/plant1_textured_mesh.obj","2026-08-28"
"PORT-013","MM-ART-003","Unicorn Mesh Collection","Decorative mesh","products/art-decor/mm-art-003-unicorn-mesh-collection","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No tests","UNKNOWN","Unknown","Block","Block","No catalog item","Not initial","HOLD","Document provenance and define a product","","YES — model artifact present","products/art-decor/mm-art-003-unicorn-mesh-collection/white_mesh.3mf","2026-08-28"
"PORT-014","MM-ACC-001","Honeycomb Hair Clip R6","Wearable accessory","products/wearables/mm-acc-001-honeycomb-hair-clip","Local controlled project","Off-strategy","P2 Digital candidate","No","Digitally final package and extensive checks reported","PETG print, 100 hinge/50 latch cycles, wear, hair/skin and comfort tests open","UNKNOWN","Medium to high; body contact, pinch and breakage","Hold","Hold","No catalog item","Not initial","P3 LATER","Complete exact-revision physical and body-contact risk tests","FINAL folder name is not commercial approval","YES — controlled CAD/source + model artifact","products/wearables/mm-acc-001-honeycomb-hair-clip/output-r6-final/extra_large/masculine-honeycomb-hair-clip-r6-extra-large.3mf","2026-08-28"
"PORT-015","MM-DEC-001","Marble Tile","Decorative surface","products/art-decor/mm-dec-001-marble-tile","Local project","Adjacent","P1 Model present","No","Multiple mesh/source files found","No release test record found","UNKNOWN","Low","Later","Later","No catalog item","Not initial","P3 LATER","Define product/use; inspect source and print a controlled revision","Possible decorative-storage surface component","YES — controlled CAD/source + model artifact","products/art-decor/mm-dec-001-marble-tile/simple_raw.3mf","2026-08-28"
"PORT-016","MM-DEC-002","Roman Pillar","Decorative object","products/art-decor/mm-dec-002-roman-pillar","Local project","Adjacent","P1 Model present","No","Source/export files found","No release test record found","UNKNOWN","Low to medium; tip/breakage depending size","Later","Later","No catalog item","Not initial","P3 LATER","Define product function and controlled revision","Could become decor with storage only after redesign","YES — controlled CAD/source + model artifact","products/art-decor/mm-dec-002-roman-pillar/mold_negative.3mf","2026-08-28"
"PORT-017","MM-SHO-001","Barefoot Shoe Collection","Footwear","products/wearables/mm-sho-001-barefoot-shoe-collection","Local project family","Off-strategy","P2 Digital candidate","No","Parametric 0.1.0 has valid closed parts and range checks","Slicer, anatomy, skin comfort, abrasion, wet grip, bonding and fatigue open","UNKNOWN","High; body contact and footwear performance","Hold","Hold","No catalog item","Not initial","HOLD","Category-specific material, fit and long-duration physical program","Several older variants should be consolidated before any future review","YES — controlled CAD/source + model artifact","products/wearables/mm-sho-001-barefoot-shoe-collection/barfussschuh_v6_1_fitfix (2)/v6_sole_left.3mf","2026-08-28"
"PORT-018","MM-TOY-001","20 mm Rubber-Ball Toy Popper","Projectile toy","products/toys-games/mm-toy-001-rubber-ball-toy-popper","Local controlled project","Off-strategy","P1 Model present","No","Parametric CAD/STEP/STL and energy assertions documented","No commercial physical/safety qualification; README says not certified","UNKNOWN","Very high; projectile toy and foreseeable misuse","Block","Block","No catalog item","Not initial","HOLD","Do not commercialize in MVP; full toy compliance and impact testing would be required","Explicit 0.13 J design limit does not equal certification","YES — controlled CAD/source + model artifact","products/toys-games/mm-toy-001-rubber-ball-toy-popper/rubber_ball_toy_popper/output/toy_popper_assembly_preview_NOT_FOR_PRINT.stl","2026-08-28"
"PORT-019","MM-BOAT-001","Fisher Boat","Toy/decor boat","products/toys-games/mm-boat-001-fisher-boat","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No qualification found","UNKNOWN","Medium; water/toy context","Hold","Hold","No catalog item","Not initial","HOLD","Document source and intended use; physical buoyancy/stability tests if pursued","","YES — model artifact present","products/toys-games/mm-boat-001-fisher-boat/textured_mesh.3mf","2026-08-28"
"PORT-020","MM-BOAT-002","Fisher Boat Detailed","Toy/decor boat","products/toys-games/mm-boat-002-fisher-boat-detailed","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No qualification found","UNKNOWN","Medium; water/toy context","Hold","Hold","No catalog item","Not initial","HOLD","Document source and intended use","","YES — model artifact present","products/toys-games/mm-boat-002-fisher-boat-detailed/textured_mesh.stl","2026-08-28"
"PORT-021","MM-BOAT-003","Flapping-Tail Submarine","Powered toy boat","products/toys-games/mm-boat-003-flapping-tail-submarine","Local controlled project","Off-strategy","P2 Digital candidate","No","21 tests and 8 preflight checks reported PASS; controlled source","No project-specific cycle, underwater, leak, battery endurance or child-use qualification","UNKNOWN","Very high; powered water toy, battery and ingress","Hold","Hold","No catalog item","Not initial","HOLD","Physical water/cycle/electrical/toy-safety program","Prototype status is explicit","YES — controlled CAD/source + model artifact","products/toys-games/mm-boat-003-flapping-tail-submarine/exports/anycubic-v1.1.0-draft.1/DRAFT-MM-BOAT-003-v1.1.0-draft.1-Kobra3Max-PETG-complete.3mf","2026-08-28"
"PORT-022","MM-BOAT-004","Rocket Boat","Toy/decor boat","products/toys-games/mm-boat-004-rocket-boat","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No qualification found","UNKNOWN","Medium to high; water/toy context","Hold","Hold","No catalog item","Not initial","HOLD","Document provenance and intended use","","YES — model artifact present","products/toys-games/mm-boat-004-rocket-boat/textured_mesh.stl","2026-08-28"
"PORT-023","MM-BOAT-005","Toy Boat","Toy/decor boat","products/toys-games/mm-boat-005-toy-boat","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No qualification found","UNKNOWN","Medium to high; water/toy context","Hold","Hold","No catalog item","Not initial","HOLD","Document provenance and intended use","","YES — model artifact present","products/toys-games/mm-boat-005-toy-boat/textured_mesh.3mf","2026-08-28"
"PORT-024","MM-DEC-003","Sunflower Bowl / Tray","Decorative tray","products/home-kitchen-garden/mm-dec-003-sunflower-bowl-tray","Local project","Adjacent","P1 Model present","No","Model package files found","No physical/commercial evidence found","UNKNOWN","Low if explicitly non-food; higher if bowl/food implied","Later","Later","No catalog item","Not initial","P3 LATER","Scope as non-food decorative tray; test base stability and surface","Could fit decor-plus-storage strategy after controlled rebuild","YES — controlled CAD/source + model artifact","products/home-kitchen-garden/mm-dec-003-sunflower-bowl-tray/sunflower_bowl/sunflower_bowl.3mf","2026-08-28"
"PORT-025","MM-TOOL-003","Kobra 3 Max Camera Arm","Printer camera mount","products/printer-workshop/mm-tool-003-kobra3max-camera-arm","Derived from an original model","Off-strategy","P1 Model present","No","Parametric/mesh set and fit coupons documented","Printer/camera fit, vibration, creep and retention tests open","BLOCK - original-model source and commercial rights unresolved","High; mounted device drop and provenance","Block","Block","No catalog item","Not initial","HOLD","Resolve original-source license before any derivative review","Non-external location does not remove provenance block","YES — controlled CAD/source + model artifact","products/printer-workshop/mm-tool-003-kobra3max-camera-arm/Kobra3Max_Slim_Camera_Arm_v6_FROM_ORIGINAL_MODEL/k3m_camera_arm_v6_from_original_model/camera_housing_assembly.3mf","2026-08-28"
"PORT-026","MM-ART-004","Capybara Mesh Collection","Decorative mesh","products/art-decor/mm-art-004-capybara-mesh-collection","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No tests","UNKNOWN","Unknown","Block","Block","No catalog item","Not initial","HOLD","Document provenance and define product","","YES — model artifact present","products/art-decor/mm-art-004-capybara-mesh-collection/textured_mesh.3mf","2026-08-28"
"PORT-027","MM-TOOL-004","Claw Hammer Mesh","Tool-shaped model","products/printer-workshop/mm-tool-004-claw-hammer-mesh","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No functional tests","UNKNOWN","High if represented as a tool","Block","Block","No catalog item","Not initial","HOLD","Treat as nonfunctional reference unless engineered and qualified","","YES — model artifact present","products/printer-workshop/mm-tool-004-claw-hammer-mesh/textured_mesh.stl","2026-08-28"
"PORT-028","MM-HOME-001","Cup and 3 g Measuring Spoon","Food-contact household item","products/home-kitchen-garden/mm-home-001-cup-and-measuring-spoon","Local project","Off-strategy","P1 Model present","No","STL and print notes found","No food-contact/process qualification or measurement traceability found","UNKNOWN","High; food contact and dosage accuracy","Block","Block","No catalog item","Not initial","HOLD","Do not commercialize without food-contact and measurement program","","YES — controlled CAD/source + model artifact","products/home-kitchen-garden/mm-home-001-cup-and-measuring-spoon/becher.3mf","2026-08-28"
"PORT-029","MM-HOB-001","Polygonal Dice Tower 0.1.2-g1","Hobby accessory","products/toys-games/mm-hob-001-polygonal-dice-tower","Local controlled project","Adjacent","P2 Digital candidate","No","Digitally final and validated; release manifest/checksum evidence","Slicer check and 10 real fall tests each with D6/D12/D20 open","UNKNOWN - commercial rights/safety package incomplete","Low to medium; small objects and jams","Later","Later","No catalog item","Not initial","P3 LATER","Complete exact profile print and fall tests then commercial review","Digitally final is not sellable","YES — controlled CAD/source + model artifact","products/toys-games/mm-hob-001-polygonal-dice-tower/unicorn_tower/polygonal-dice-tower-FINAL-0.1.2-g1.3mf","2026-08-28"
"PORT-030","MM-ART-005","Fish Mesh Collection","Decorative mesh","products/art-decor/mm-art-005-fish-mesh-collection","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No tests","UNKNOWN","Unknown","Block","Block","No catalog item","Not initial","HOLD","Document provenance and define product","","YES — model artifact present","products/art-decor/mm-art-005-fish-mesh-collection/textured_mesh.3mf","2026-08-28"
"PORT-031","MM-GAR-001","Rainwater Filter Well R2/R3","Garden water system","products/home-kitchen-garden/mm-gar-001-rainwater-filter-well","Local controlled project family","Off-strategy","P2 Digital candidate","No","R3: 17/17 digital geometry and 11/11 engineering criteria pass; R2 retained as older draft","Slicer, fit, leak, sediment, flow, overflow and tip tests open","UNKNOWN","Very high; large water-handling system and performance claims","Hold","Hold","No catalog item","Not initial","HOLD","Treat R2 as superseded; complete extensive R3 wet qualification and commercial risk review","R3 about 10.27 kg modeled PETG; both revisions remain draft","YES — controlled CAD/source + model artifact","products/home-kitchen-garden/mm-gar-001-rainwater-filter-well/regenwasser-filterbrunnen_R2_DRAFT/build/draft-r2/preview/components/01_stufe-3-gehaeuse.stl","2026-08-28"
"PORT-032","MM-ART-006","Mouse Mesh Collection","Decorative mesh","products/art-decor/mm-art-006-mouse-mesh-collection","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No tests","UNKNOWN","Unknown","Block","Block","No catalog item","Not initial","HOLD","Document provenance and define product","","YES — model artifact present","products/art-decor/mm-art-006-mouse-mesh-collection/textured_mesh.3mf","2026-08-28"
"PORT-033","MM-PUZ-001","Parametric Labyrinth Gift Box","Personalized container","products/toys-games/mm-puz-001-parametric-labyrinth-gift-box","Local controlled project","Adjacent","P2 Digital candidate","No","53 automated tests; valid STEP/STL; common printer fit","Slicer review and physical calibration/full travel open","UNKNOWN - image/font/input rights vary by customization","Medium; trapping contents and small follower failure","Later","Later","No catalog item","Post-launch personalized product","P2 NEXT","Slice; print calibration pair; qualify exact clearance and customer image workflow","Good later bridge to personalization","YES — controlled CAD/source + model artifact","products/toys-games/mm-puz-001-parametric-labyrinth-gift-box/exports/custom/inner.stl","2026-08-28"
"PORT-034","MM-PUZ-002","Mystery Puzzle Box","Puzzle container","products/toys-games/mm-puz-002-mystery-puzzle-box","Local controlled project","Adjacent","P2 Digital candidate","No","v1.2.0 / 1.2.0-draft.1 CadQuery source; marked body plus lid, slider and return-leaf STEP/STL; valid eight-object DRAFT 3MF; four watertight meshes; source, mesh, 3MF, interface, flexure-screen, procedural-texture and digital-watermark checks PASS through interface-validation","No exact slicer/profile; slider-fit, PETG leaf, three-latch, 50-cycle, false-release, appearance, cleaning and watermark tests TP-01 through TP-08 are NOT RUN","Canonical MM-WM-001-R1 and local source recorded; broader commercial provenance and product-title review remain open","Medium; pinch/jam, PETG flexure fatigue/creep, loose small parts and failed relock require physical qualification","Later","Later after mechanism qualification","No catalog item","Not initial","P3 LATER","Run exact slicer/profile; print fit, flexure and texture/watermark coupons; complete unchanged assembly TP-01 through TP-08","DRAFT digital candidate only; 250 x 75 x 75 mm; three independent direct latches, 56 recessed vector motifs, estimated combined CAD mass 306.2 g; no reliability, safety or sale claim","YES — controlled CAD/source + model artifact","products/toys-games/mm-puz-002-mystery-puzzle-box/exports/candidate/DRAFT-mystery-puzzle-box-1.2.0-print-set.3mf","2026-08-28"
"PORT-035","MM-ART-007","Racehorse Mesh Collection","Decorative mesh","products/art-decor/mm-art-007-racehorse-mesh-collection","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No tests","UNKNOWN","Unknown","Block","Block","No catalog item","Not initial","HOLD","Document provenance and define product","","YES — model artifact present","products/art-decor/mm-art-007-racehorse-mesh-collection/textured_mesh.3mf","2026-08-28"
"PORT-036","MM-ART-008","Sports Car Mesh","Decorative/vehicle mesh","products/art-decor/mm-art-008-sports-car-mesh","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh found","No tests","UNKNOWN - design similarity risk","High IP/design risk","Block","Block","No catalog item","Not initial","HOLD","Document source and perform design-rights review","","YES — model artifact present","products/art-decor/mm-art-008-sports-car-mesh/textured_mesh (1).glb","2026-08-28"
"PORT-037","MM-WALL-001","Honeycomb Wood Wall Shelf","Wall storage","products/organization-storage/mm-wall-001-honeycomb-wood-wall-shelf","Local controlled project","Core adjacent","P2 Digital candidate","No","Digital assets, relief and coupon evidence found","Fastener, substrate, load, creep and long-term wall tests open","UNKNOWN","High; wall mounting and falling object risk","Hold","Hold","No catalog item","Not initial","P3 LATER","Define supported wall/hardware and complete load/creep test program","","YES — controlled CAD/source + model artifact","products/organization-storage/mm-wall-001-honeycomb-wood-wall-shelf/setzkasten/honeycomb-wood-wall-shelf/generated/bridge-clip.stl","2026-08-28"
"PORT-038","MM-ART-009","Whale Mesh Collection","Decorative mesh","products/art-decor/mm-art-009-whale-mesh-collection","Unclassified local mesh","Off-strategy","P1 Model present","No","Mesh files found","No tests","UNKNOWN","Unknown","Block","Block","No catalog item","Not initial","HOLD","Document provenance and define product","","YES — model artifact present","products/art-decor/mm-art-009-whale-mesh-collection/textured_mesh.stl","2026-08-28"
"PORT-039","MM-SYS-001","ALEX Inventory Workplace Tray","System-furniture insert","products/furniture-systems/mm-sys-001-alex-inventory-workplace-tray","Local controlled concept","Core adjacent","P2 Digital candidate","No","0.2.0-draft.1 standalone CadQuery/JSON tray plus 209.30/210.00/210.70 mm full-width gauges; STEP/STL and valid four-object DRAFT 3MF; all meshes, common-220 envelope and provisional interface contract PASS through interface-validation","No identified furniture revision/measurements, exact slicer/profile or physical gauge/tray/load evidence","UNKNOWN; compatibility/trademark wording review open","Medium; fit and furniture-surface interaction","Later","Later","No catalog item","Research reserve","P2 NEXT","Identify and measure the exact furniture revision; print the three width gauges; update envelope if required; then slice and print the unchanged tray","Measurement pilot only: 210 x 160 x 32 mm tray; ALEX is intended context, not a guaranteed compatibility claim","YES — controlled CAD/source + model artifact","products/furniture-systems/mm-sys-001-alex-inventory-workplace-tray/exports/3mf/DRAFT-MM-SYS-001-alex-measurement-pilot-0.2.0-draft.1.3mf","2026-08-28"
"PORT-040","MM-SYS-002","BROR Tool Shadow Tray","System-furniture insert","products/furniture-systems/mm-sys-002-bror-tool-shadow-tray","Local controlled concept","Core adjacent","P2 Digital candidate","No","0.2.0-draft.1 standalone CadQuery/JSON 216 x 180 x 28 mm tray plus 215.30/216.00/216.70 mm gauges; all tool recesses parameterized; STEP/STL and valid four-object DRAFT 3MF; mesh, common-220 and interface checks PASS through interface-validation","No exact drawer/tool measurements, slicer/profile, gauge print, full print, point-load, cleaning or cycle evidence","UNKNOWN; compatibility wording review open","Medium; drawer fit, tool access and point loads","Later","Later","No catalog item","Research reserve","P2 NEXT","Identify and measure exact drawer revision and tools; print width gauges; update envelope/recess clearances; then slice and print unchanged tray","Measurement pilot only; 216 mm width retains 2 mm nominal bed margin per side; BROR/tool fit is not guaranteed","YES — controlled CAD/source + model artifact","products/furniture-systems/mm-sys-002-bror-tool-shadow-tray/exports/3mf/DRAFT-MM-SYS-002-bror-measurement-pilot-0.2.0-draft.1.3mf","2026-08-28"
"PORT-041","MM-SYS-003","PAX Asymmetric Accessory Grid","System-furniture insert","products/furniture-systems/mm-sys-003-pax-asymmetric-accessory-grid","Local controlled concept","Core adjacent","P2 Digital candidate","No","Watertight STL and valid STEP; provisional geometry","No verified fit or physical tests","UNKNOWN","Medium","Later","Later","No catalog item","Research reserve","P3 LATER","Measure exact PAX/KOMPLEMENT revision and test","","YES — controlled CAD/source + model artifact","products/furniture-systems/mm-sys-003-pax-asymmetric-accessory-grid/exports/stl/03_pax_asymmetric_accessory_grid.stl","2026-08-28"
