Product_Path,Working_SKU,Product,Product_Family_or_Category,Score_Basis,Trend_Score_0_100,Priority_Score_0_100,Opportunity_Score_0_100,Risk_Score_1_5,Estimated_Market_Fit_1_5,Market_Evidence_Confidence_1_5,Creation_Effort_1_5,Validation_Effort_1_5,Commercial_Risk_1_5,Strategy_Fit_1_5,AM_Differentiation_1_5,Portfolio_Leverage_1_5,Digital_First_Fit_1_5,Economics_1_5,Trend_Basis,Scoring_Rationale,Score_Status,Scored_On,Scoring_Version
products/art-decor/mm-art-011-modular-topographic-relief-wall-panel,MM-ART-011,Harz and Rhenish permanent topographic wall reliefs,Decorative topographic wall relief,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,67,44.2,69,4,3,2,2,4,4,1,2,3,1,3,"Research family '3D wall art, reliefs & gallery panels' median 85; mapped from category 'Decorative topographic wall relief'; strategy-fit adjustment -18","Derived from the live preflight C3/R2/K2 (EXT=3, MOT=3, PHY=2), register strategy fit 'Off-strategy', local source, commercial register open, safety medium, model status 'YES — controlled source', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-auto-001-opel-grandland-2018-mesh,MM-AUTO-001,Opel Grandland 2018 Mesh,Vehicle-themed model,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,20,39,22,5,1,1,1,2,5,1,2,2,3,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Vehicle-themed model'; baseline 35 below every scored research family; strategy-fit adjustment -18,"Derived from the live preflight C1/R1/K0 (EXT=3, MOT=0, PHY=0), register strategy fit 'Off-strategy', rights BLOCK, safety high, model status 'YES — model artifact present', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-dec-001-marble-tile,MM-DEC-001,Marble Tile,Decorative surface,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,27,52.2,29,4,1,1,1,3,4,3,3,3,5,4,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative surface'; baseline 35 below every scored research family; strategy-fit adjustment -8,"Derived from the live preflight C2/R1/K1 (EXT=0, MOT=0, PHY=2), register strategy fit 'Adjacent', rights UNKNOWN, safety low, model status 'YES — controlled CAD/source + model artifact', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/art-decor/mm-dec-002-roman-pillar,MM-DEC-002,Roman Pillar,Decorative object,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,27,44.2,29,4,1,1,2,4,4,3,3,3,2,3,NO PRIMARY-SOURCE RESEARCH FAMILY for category 'Decorative object'; baseline 35 below every scored research family; strategy-fit adjustment -8,"Derived from the live preflight C3/R1/K2 (EXT=3, MOT=0, PHY=2), register strategy fit 'Adjacent', rights UNKNOWN, safety low, model status 'YES — controlled CAD/source + model artifact', and 14 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-001-alex-inventory-workplace-tray,MM-SYS-001,ALEX Inventory Workplace Tray,System-furniture insert,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,72.2,91,4,4,2,1,3,4,4,4,4,4,4,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture insert'; strategy-fit adjustment -3,"Derived from the live preflight C2/R1/K1 (EXT=1, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-002-bror-tool-shadow-tray,MM-SYS-002,BROR Tool Shadow Tray,System-furniture insert,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,72.2,91,4,4,2,1,3,4,4,4,4,4,4,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture insert'; strategy-fit adjustment -3,"Derived from the live preflight C2/R1/K1 (EXT=1, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-003-pax-asymmetric-accessory-grid,MM-SYS-003,PAX Asymmetric Accessory Grid,System-furniture insert,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture insert'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-004-billy-collection-riser,MM-SYS-004,BILLY Collection Riser,System-furniture display,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,87,67.2,89,4,4,2,2,3,4,4,4,4,2,3,Research family 'Collectible display and storage' median 90; mapped from category 'System-furniture display'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K2 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-005-bror-shadow-board-workflow-cluster,MM-SYS-005,BROR Shadow Board Workflow Cluster,System-furniture tool storage,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,72,63.2,74,4,3,2,2,3,4,4,4,4,2,3,Research family 'Workshop tool organization' median 75; mapped from category 'System-furniture tool storage'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=3), register strategy fit 'Core adjacent', rights UNKNOWN, safety high, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-006-kallax-boardgame-matrix,MM-SYS-006,KALLAX Boardgame Matrix,System-furniture storage,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture storage'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-007-platsa-collection-cells,MM-SYS-007,PLATSA Collection Cells,System-furniture storage,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture storage'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-008-skadis-precision-tool-cluster,MM-SYS-008,SKADIS Precision Tool Cluster,System-furniture tool storage,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,72,63.2,74,4,3,2,2,3,4,4,4,4,2,3,Research family 'Workshop tool organization' median 75; mapped from category 'System-furniture tool storage'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=3), register strategy fit 'Core adjacent', rights UNKNOWN, safety high, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-009-besta-passive-media-topology,MM-SYS-009,BESTA Passive Media Topology,System-furniture media accessory,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,76,61.2,78,4,3,2,2,2,4,3,3,4,3,3,Research family 'Physical-media organization' median 84; mapped from category 'System-furniture media accessory'; strategy-fit adjustment -8,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Adjacent', rights UNKNOWN, safety high, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-010-omar-ventilated-shelf-deck,MM-SYS-010,OMAR Ventilated Shelf Deck,System-furniture shelf accessory,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,88,67.2,90,4,4,2,2,3,4,4,4,4,2,3,Research family 'Exact-fit shelf organization' median 91; mapped from category 'System-furniture shelf accessory'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K2 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium to high, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-011-boaxel-cleaning-accessory-dock,MM-SYS-011,BOAXEL Cleaning Accessory Dock,System-furniture dock,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture dock'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium to high, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-012-besta-controller-and-media-tray,MM-SYS-012,BESTA Controller and Media Tray,System-furniture insert,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture insert'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-013-trofast-adult-workshop-insert,MM-SYS-013,TROFAST Adult Workshop Insert,System-furniture insert,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture insert'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-014-kallax-creative-material-cassette,MM-SYS-014,KALLAX Creative Material Cassette,System-furniture storage,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture storage'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-015-boaxel-basket-microsorter,MM-SYS-015,BOAXEL Basket Microsorter,System-furniture organizer,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture organizer'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-016-malm-fold-size-drawer-dividers,MM-SYS-016,MALM Fold-Size Drawer Dividers,System-furniture insert,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture insert'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-017-ivar-no-drill-side-inventory-rail,MM-SYS-017,IVAR No-Drill Side Inventory Rail,System-furniture rail,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,76,63.2,78,4,3,2,2,3,4,4,4,4,2,3,Research family 'Modular pegboard & wall-storage ecosystems' median 79; mapped from category 'System-furniture rail'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K2 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety high, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-018-billy-collection-display-matrix,MM-SYS-018,BILLY Collection Display Matrix,System-furniture display,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,87,70.2,89,4,4,2,2,2,4,4,4,4,3,3,Research family 'Collectible display and storage' median 90; mapped from category 'System-furniture display'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-019-lagkapten-alex-reversible-cable-rail,MM-SYS-019,LAGKAPTEN/ALEX Reversible Cable Rail,System-furniture cable accessory,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,67.2,91,4,4,2,2,3,4,4,4,4,2,3,Research family 'Cable-management systems' median 92; mapped from category 'System-furniture cable accessory'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K2 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety medium, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/furniture-systems/mm-sys-020-lack-leg-two-pocket-mini-dock,MM-SYS-020,LACK Leg Two-Pocket Mini Dock,System-furniture dock,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,89,70.2,91,4,4,2,2,2,4,4,4,4,3,3,Research family 'Named-system furniture organization' median 92; mapped from category 'System-furniture dock'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K1 (EXT=3, MOT=0, PHY=2), register strategy fit 'Core adjacent', rights UNKNOWN, safety high, model status 'YES — controlled CAD/source + model artifact', and 20 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
products/home-kitchen-garden/mm-bth-003-linear-shower-drain-hair-trap,MM-BTH-003,Linear Shower Drain Hair Trap,Shower-drain accessory,DERIVED — PRODUCT PREFLIGHT AND REGISTER EVIDENCE v1.0,78,62.2,80,4,3,2,2,4,4,4,4,4,3,3,Research family 'Bathroom & shower organizers' median 81; mapped from category 'Shower-drain accessory'; strategy-fit adjustment -3,"Derived from the live preflight C3/R2/K2 (EXT=0, MOT=0, PHY=3), register strategy fit 'Core adjacent', rights partly recorded, safety medium, model status 'YES — controlled CAD/source + model artifact', and 6 sibling products in its product family. Economics is a complexity and purchased-content proxy only; no product COGS or price is recorded yet.",DIRECTIONAL PLANNING SCORE — NOT VALIDATED DEMAND OR RELEASE APPROVAL,2026-09-04,1.0
