Record_ID,Working_SKU,Product_or_Model,Lifecycle_Stage,Portfolio_Source_Path,Source_Path_Exists,Model_Status,Parametric_Source_Present,Manufacturing_or_Neutral_Model_Present,3MF_Present,Representative_Model_Evidence,Model_File_Count,Source_File_Count,Portfolio_Contradiction,Audit_Date
PORT-010,MM-ART-001,Fox Mesh Collection,P1 Model present,products/art-decor/mm-art-001-fox-mesh-collection,YES,YES — model artifact present,NO,YES,YES,products/art-decor/mm-art-001-fox-mesh-collection/textured_mesh.3mf,6,0,,2026-08-28
PORT-011,MM-AUTO-001,Opel Grandland 2018 Mesh,P1 Model present,products/art-decor/mm-auto-001-opel-grandland-2018-mesh,YES,YES — model artifact present,NO,YES,YES,products/art-decor/mm-auto-001-opel-grandland-2018-mesh/Untitled.3mf,7,0,,2026-08-28
PORT-012,MM-ART-002,Plant Mesh,P1 Model present,products/art-decor/mm-art-002-plant-mesh,YES,YES — model artifact present,NO,YES,NO,products/art-decor/mm-art-002-plant-mesh/plant1_textured_mesh.obj,1,0,,2026-08-28
PORT-013,MM-ART-003,Unicorn Mesh Collection,P1 Model present,products/art-decor/mm-art-003-unicorn-mesh-collection,YES,YES — model artifact present,NO,YES,YES,products/art-decor/mm-art-003-unicorn-mesh-collection/white_mesh.3mf,4,0,,2026-08-28
PORT-014,MM-ACC-001,Honeycomb Hair Clip R6,P2 Digital candidate,products/wearables/mm-acc-001-honeycomb-hair-clip,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/wearables/mm-acc-001-honeycomb-hair-clip/output-r6-final/extra_large/masculine-honeycomb-hair-clip-r6-extra-large.3mf,8,7,,2026-08-28
PORT-015,MM-DEC-001,Marble Tile,P1 Model present,products/art-decor/mm-dec-001-marble-tile,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/art-decor/mm-dec-001-marble-tile/simple_raw.3mf,11,5,,2026-08-28
PORT-016,MM-DEC-002,Roman Pillar,P1 Model present,products/art-decor/mm-dec-002-roman-pillar,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/art-decor/mm-dec-002-roman-pillar/mold_negative.3mf,6,2,,2026-08-28
PORT-017,MM-SHO-001,Barefoot Shoe Collection,P2 Digital candidate,products/wearables/mm-sho-001-barefoot-shoe-collection,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/wearables/mm-sho-001-barefoot-shoe-collection/barfussschuh_v6_1_fitfix (2)/v6_sole_left.3mf,69,12,,2026-08-28
PORT-018,MM-TOY-001,20 mm Rubber-Ball Toy Popper,P1 Model present,products/toys-games/mm-toy-001-rubber-ball-toy-popper,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/toys-games/mm-toy-001-rubber-ball-toy-popper/rubber_ball_toy_popper/output/toy_popper_assembly_preview_NOT_FOR_PRINT.stl,11,1,,2026-08-28
PORT-019,MM-BOAT-001,Fisher Boat,P1 Model present,products/toys-games/mm-boat-001-fisher-boat,YES,YES — model artifact present,NO,YES,YES,products/toys-games/mm-boat-001-fisher-boat/textured_mesh.3mf,3,0,,2026-08-28
PORT-020,MM-BOAT-002,Fisher Boat Detailed,P1 Model present,products/toys-games/mm-boat-002-fisher-boat-detailed,YES,YES — model artifact present,NO,YES,NO,products/toys-games/mm-boat-002-fisher-boat-detailed/textured_mesh.stl,2,0,,2026-08-28
PORT-021,MM-BOAT-003,Flapping-Tail Submarine,P2 Digital candidate,products/toys-games/mm-boat-003-flapping-tail-submarine,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/toys-games/mm-boat-003-flapping-tail-submarine/exports/stl/ballast_box.stl,29,18,,2026-08-28
PORT-022,MM-BOAT-004,Rocket Boat,P1 Model present,products/toys-games/mm-boat-004-rocket-boat,YES,YES — model artifact present,NO,YES,NO,products/toys-games/mm-boat-004-rocket-boat/textured_mesh.stl,2,0,,2026-08-28
PORT-023,MM-BOAT-005,Toy Boat,P1 Model present,products/toys-games/mm-boat-005-toy-boat,YES,YES — model artifact present,NO,YES,YES,products/toys-games/mm-boat-005-toy-boat/textured_mesh.3mf,5,0,,2026-08-28
PORT-024,MM-DEC-003,Sunflower Bowl / Tray,P1 Model present,products/home-kitchen-garden/mm-dec-003-sunflower-bowl-tray,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/home-kitchen-garden/mm-dec-003-sunflower-bowl-tray/sunflower_bowl/sunflower_bowl.3mf,4,2,,2026-08-28
PORT-025,MM-TOOL-003,Kobra 3 Max Camera Arm,P1 Model present,products/printer-workshop/mm-tool-003-kobra3max-camera-arm,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/printer-workshop/mm-tool-003-kobra3max-camera-arm/Kobra3Max_Slim_Camera_Arm_v6_FROM_ORIGINAL_MODEL/k3m_camera_arm_v6_from_original_model/camera_housing_assembly.3mf,9,1,,2026-08-28
PORT-026,MM-ART-004,Capybara Mesh Collection,P1 Model present,products/art-decor/mm-art-004-capybara-mesh-collection,YES,YES — model artifact present,NO,YES,YES,products/art-decor/mm-art-004-capybara-mesh-collection/textured_mesh.3mf,3,0,,2026-08-28
PORT-027,MM-TOOL-004,Claw Hammer Mesh,P1 Model present,products/printer-workshop/mm-tool-004-claw-hammer-mesh,YES,YES — model artifact present,NO,YES,NO,products/printer-workshop/mm-tool-004-claw-hammer-mesh/textured_mesh.stl,2,0,,2026-08-28
PORT-028,MM-HOME-001,Cup and 3 g Measuring Spoon,P1 Model present,products/home-kitchen-garden/mm-home-001-cup-and-measuring-spoon,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/home-kitchen-garden/mm-home-001-cup-and-measuring-spoon/becher.3mf,5,2,,2026-08-28
PORT-029,MM-HOB-001,Polygonal Dice Tower 0.1.2-g1,P2 Digital candidate,products/toys-games/mm-hob-001-polygonal-dice-tower,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/toys-games/mm-hob-001-polygonal-dice-tower/unicorn_tower/polygonal-dice-tower-FINAL-0.1.2-g1.3mf,16,7,,2026-08-28
PORT-030,MM-ART-005,Fish Mesh Collection,P1 Model present,products/art-decor/mm-art-005-fish-mesh-collection,YES,YES — model artifact present,NO,YES,YES,products/art-decor/mm-art-005-fish-mesh-collection/textured_mesh.3mf,4,0,,2026-08-28
PORT-031,MM-GAR-001,Rainwater Filter Well R2/R3,P2 Digital candidate,products/home-kitchen-garden/mm-gar-001-rainwater-filter-well,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/home-kitchen-garden/mm-gar-001-rainwater-filter-well/regenwasser-filterbrunnen_R2_DRAFT/build/draft-r2/preview/components/01_stufe-3-gehaeuse.stl,87,8,,2026-08-28
PORT-032,MM-ART-006,Mouse Mesh Collection,P1 Model present,products/art-decor/mm-art-006-mouse-mesh-collection,YES,YES — model artifact present,NO,YES,YES,products/art-decor/mm-art-006-mouse-mesh-collection/textured_mesh.3mf,3,0,,2026-08-28
PORT-033,MM-PUZ-001,Parametric Labyrinth Gift Box,P2 Digital candidate,products/toys-games/mm-puz-001-parametric-labyrinth-gift-box,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/toys-games/mm-puz-001-parametric-labyrinth-gift-box/exports/custom/inner.stl,30,5150,,2026-08-28
PORT-034,MM-PUZ-002,Mystery Puzzle Box,P2 Digital candidate,products/toys-games/mm-puz-002-mystery-puzzle-box,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/toys-games/mm-puz-002-mystery-puzzle-box/exports/candidate/DRAFT-mystery-puzzle-box-1.2.0-print-set.3mf,11,3,,2026-08-28
PORT-035,MM-ART-007,Racehorse Mesh Collection,P1 Model present,products/art-decor/mm-art-007-racehorse-mesh-collection,YES,YES — model artifact present,NO,YES,YES,products/art-decor/mm-art-007-racehorse-mesh-collection/textured_mesh.3mf,3,0,,2026-08-28
PORT-036,MM-ART-008,Sports Car Mesh,P1 Model present,products/art-decor/mm-art-008-sports-car-mesh,YES,YES — model artifact present,NO,YES,NO,products/art-decor/mm-art-008-sports-car-mesh/textured_mesh (1).glb,1,0,,2026-08-28
PORT-037,MM-WALL-001,Honeycomb Wood Wall Shelf,P2 Digital candidate,products/organization-storage/mm-wall-001-honeycomb-wood-wall-shelf,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/organization-storage/mm-wall-001-honeycomb-wood-wall-shelf/setzkasten/honeycomb-wood-wall-shelf/generated/bridge-clip.stl,16,4,,2026-08-28
PORT-038,MM-ART-009,Whale Mesh Collection,P1 Model present,products/art-decor/mm-art-009-whale-mesh-collection,YES,YES — model artifact present,NO,YES,NO,products/art-decor/mm-art-009-whale-mesh-collection/textured_mesh.stl,2,0,,2026-08-28
PORT-039,MM-SYS-001,ALEX Inventory Workplace Tray,P2 Digital candidate,products/furniture-systems/mm-sys-001-alex-inventory-workplace-tray,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/furniture-systems/mm-sys-001-alex-inventory-workplace-tray/exports/3mf/DRAFT-MM-SYS-001-alex-measurement-pilot-0.2.0-draft.1.3mf,9,2,,2026-08-28
PORT-040,MM-SYS-002,BROR Tool Shadow Tray,P2 Digital candidate,products/furniture-systems/mm-sys-002-bror-tool-shadow-tray,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/furniture-systems/mm-sys-002-bror-tool-shadow-tray/exports/3mf/DRAFT-MM-SYS-002-bror-measurement-pilot-0.2.0-draft.1.3mf,9,2,,2026-08-28
PORT-041,MM-SYS-003,PAX Asymmetric Accessory Grid,P2 Digital candidate,products/furniture-systems/mm-sys-003-pax-asymmetric-accessory-grid,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-003-pax-asymmetric-accessory-grid/exports/stl/03_pax_asymmetric_accessory_grid.stl,2,10,,2026-08-28
PORT-042,MM-SYS-004,BILLY Collection Riser,P2 Digital candidate,products/furniture-systems/mm-sys-004-billy-collection-riser,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-004-billy-collection-riser/exports/stl/04_billy_collection_riser.stl,2,10,,2026-08-28
PORT-043,MM-SYS-005,BROR Shadow Board Workflow Cluster,P2 Digital candidate,products/furniture-systems/mm-sys-005-bror-shadow-board-workflow-cluster,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-005-bror-shadow-board-workflow-cluster/exports/stl/05_bror_shadow_board_workflow_cluster.stl,2,10,,2026-08-28
PORT-044,MM-SYS-006,KALLAX Boardgame Matrix,P2 Digital candidate,products/furniture-systems/mm-sys-006-kallax-boardgame-matrix,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-006-kallax-boardgame-matrix/exports/stl/06_kallax_boardgame_matrix.stl,2,10,,2026-08-28
PORT-045,MM-SYS-007,PLATSA Collection Cells,P2 Digital candidate,products/furniture-systems/mm-sys-007-platsa-collection-cells,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-007-platsa-collection-cells/exports/stl/07_platsa_collection_cells.stl,2,10,,2026-08-28
PORT-046,MM-SYS-008,SKADIS Precision Tool Cluster,P2 Digital candidate,products/furniture-systems/mm-sys-008-skadis-precision-tool-cluster,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-008-skadis-precision-tool-cluster/exports/stl/08_skadis_workflow_cluster.stl,2,10,,2026-08-28
PORT-047,MM-SYS-009,BESTA Passive Media Topology,P2 Digital candidate,products/furniture-systems/mm-sys-009-besta-passive-media-topology,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-009-besta-passive-media-topology/exports/stl/09_besta_media_topology.stl,2,10,,2026-08-28
PORT-048,MM-SYS-010,OMAR Ventilated Shelf Deck,P2 Digital candidate,products/furniture-systems/mm-sys-010-omar-ventilated-shelf-deck,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-010-omar-ventilated-shelf-deck/exports/stl/10_omar_shelf_deck.stl,2,10,,2026-08-28
PORT-049,MM-SYS-011,BOAXEL Cleaning Accessory Dock,P2 Digital candidate,products/furniture-systems/mm-sys-011-boaxel-cleaning-accessory-dock,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-011-boaxel-cleaning-accessory-dock/exports/stl/11_boaxel_light_cleaning_docking_rail.stl,2,10,,2026-08-28
PORT-050,MM-SYS-012,BESTA Controller and Media Tray,P2 Digital candidate,products/furniture-systems/mm-sys-012-besta-controller-and-media-tray,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-012-besta-controller-and-media-tray/exports/stl/12_besta_controller_media_drawer_tray.stl,2,10,,2026-08-28
PORT-051,MM-SYS-013,TROFAST Adult Workshop Insert,P2 Digital candidate,products/furniture-systems/mm-sys-013-trofast-adult-workshop-insert,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-013-trofast-adult-workshop-insert/exports/stl/13_trofast_adult_workshop_insert.stl,2,10,,2026-08-28
PORT-052,MM-SYS-014,KALLAX Creative Material Cassette,P2 Digital candidate,products/furniture-systems/mm-sys-014-kallax-creative-material-cassette,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-014-kallax-creative-material-cassette/exports/stl/14_kallax_creative_material_cassette.stl,2,10,,2026-08-28
PORT-053,MM-SYS-015,BOAXEL Basket Microsorter,P2 Digital candidate,products/furniture-systems/mm-sys-015-boaxel-basket-microsorter,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-015-boaxel-basket-microsorter/exports/stl/15_boaxel_basket_microsorter.stl,2,10,,2026-08-28
PORT-054,MM-SYS-016,MALM Fold-Size Drawer Dividers,P2 Digital candidate,products/furniture-systems/mm-sys-016-malm-fold-size-drawer-dividers,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-016-malm-fold-size-drawer-dividers/exports/stl/16_malm_fold_size_dividers.stl,2,10,,2026-08-28
PORT-055,MM-SYS-017,IVAR No-Drill Side Inventory Rail,P2 Digital candidate,products/furniture-systems/mm-sys-017-ivar-no-drill-side-inventory-rail,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-017-ivar-no-drill-side-inventory-rail/exports/stl/17_ivar_no_drill_side_inventory_rail.stl,2,10,,2026-08-28
PORT-056,MM-SYS-018,BILLY Collection Display Matrix,P2 Digital candidate,products/furniture-systems/mm-sys-018-billy-collection-display-matrix,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-018-billy-collection-display-matrix/exports/stl/18_billy_collection_display_matrix.stl,2,10,,2026-08-28
PORT-057,MM-SYS-019,LAGKAPTEN/ALEX Reversible Cable Rail,P2 Digital candidate,products/furniture-systems/mm-sys-019-lagkapten-alex-reversible-cable-rail,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-019-lagkapten-alex-reversible-cable-rail/exports/stl/19_lagkapten_alex_reversible_cable_rail.stl,2,10,,2026-08-28
PORT-058,MM-SYS-020,LACK Leg Two-Pocket Mini Dock,P2 Digital candidate,products/furniture-systems/mm-sys-020-lack-leg-two-pocket-mini-dock,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/furniture-systems/mm-sys-020-lack-leg-two-pocket-mini-dock/exports/stl/20_lack_leg_two_pocket_mini_dock.stl,2,10,,2026-08-28
PORT-059,MM-ORG-004,Modular Desktop Tray System,P2 Digital candidate,products/organization-storage/mm-org-004-modular-desktop-tray-system,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-004-modular-desktop-tray-system/exports/3mf/DRAFT-MM-ORG-004-modular-desktop-tray-system-0.1.0-draft.1.3mf,10,3,,2026-08-28
PORT-060,MM-ORG-005,Desk-edge Cable Clip Kit,P2 Digital candidate,products/organization-storage/mm-org-005-desk-edge-cable-clip-kit,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-005-desk-edge-cable-clip-kit/exports/3mf/DRAFT-MM-ORG-005-desk-edge-cable-clip-kit-0.1.0-draft.1.3mf,10,3,,2026-08-28
PORT-061,MM-ORG-006,Charging-cable Docking Bar,P2 Digital candidate,products/organization-storage/mm-org-006-charging-cable-docking-bar,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-006-charging-cable-docking-bar/exports/3mf/DRAFT-MM-ORG-006-charging-cable-docking-bar-0.1.0-draft.1.3mf,19,3,,2026-08-28
PORT-062,MM-ORG-007,Adjustable Passive Phone Stand,P2 Digital candidate,products/organization-storage/mm-org-007-adjustable-passive-phone-stand,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-007-adjustable-passive-phone-stand/exports/3mf/DRAFT-MM-ORG-007-adjustable-phone-stand-0.1.0-draft.1.3mf,12,3,,2026-08-28
PORT-063,MM-ORG-008,Custom Lipstick and Tube Grid,P2 Digital candidate,products/organization-storage/mm-org-008-custom-lipstick-tube-grid,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-008-custom-lipstick-tube-grid/exports/3mf/DRAFT-MM-ORG-008-custom-lipstick-tube-grid-0.1.0-draft.1.3mf,4,3,,2026-08-28
PORT-065,MM-ORG-009,Tapered drawer perimeter filler rail set,P2 Digital candidate,products/organization-storage/mm-org-009-tapered-drawer-perimeter-filler-rail-set,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-009-tapered-drawer-perimeter-filler-rail-set/exports/3mf/DRAFT-MM-ORG-009-tapered-drawer-filler-set-0.1.0-draft.1.3mf,9,3,,2026-08-28
PORT-066,MM-ORG-010,Personalized pen and stationery caddy,P2 Digital print candidate,products/organization-storage/mm-org-010-personalized-pen-stationery-caddy,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-010-personalized-pen-stationery-caddy/exports/3mf/DRAFT-MM-ORG-010-personalized-stationery-caddy-0.1.0-draft.1.3mf,8,4,,2026-08-28
PORT-067,MM-ORG-011,Crochet-hook diameter rack,P2 Digital print candidate,products/organization-storage/mm-org-011-crochet-hook-diameter-rack,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-011-crochet-hook-diameter-rack/exports/3mf/DRAFT-MM-ORG-011-crochet-hook-diameter-rack-0.1.0-draft.1.3mf,6,4,,2026-08-28
PORT-068,MM-ORG-012,Stationery-refill inventory tray,P2 Digital print candidate,products/organization-storage/mm-org-012-stationery-refill-inventory-tray,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-012-stationery-refill-inventory-tray/exports/3mf/DRAFT-MM-ORG-012-stationery-refill-inventory-tray-0.1.0-draft.1.3mf,3,4,,2026-08-28
PORT-069,MM-ORG-013,Photo and postcard archive drawer divider,P2 Digital print candidate,products/organization-storage/mm-org-013-photo-postcard-archive-drawer-divider,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-013-photo-postcard-archive-drawer-divider/exports/3mf/DRAFT-MM-ORG-013-frame-and-first-three-dividers-0.1.0-draft.1.3mf,14,4,,2026-08-28
PORT-070,MM-ORG-014,Embroidery-floss project palette dock,P2 Digital print candidate,products/organization-storage/mm-org-014-embroidery-floss-project-palette-dock,YES,YES — controlled CAD/source + model artifact,YES,YES,NO,products/organization-storage/mm-org-014-embroidery-floss-project-palette-dock/exports/manufacturing/DRAFT-MM-ORG-014-palette-dock-0.1.0-draft.1.stl,3,4,,2026-08-28
PORT-071,MM-ORG-015,Adapter-and-dongle drawer cassette,P2 Digital print candidate,products/organization-storage/mm-org-015-adapter-dongle-drawer-cassette,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-015-adapter-dongle-drawer-cassette/exports/3mf/DRAFT-MM-ORG-015-cassette-and-measurement-card-0.1.0-draft.1.3mf,5,4,,2026-08-28
PORT-072,MM-ORG-016,Stencil-ruler bookmark set,P2 Digital print candidate,products/organization-storage/mm-org-016-stencil-ruler-bookmark-set,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-016-stencil-ruler-bookmark-set/exports/3mf/DRAFT-MM-ORG-016-stencil-ruler-bookmark-set-0.1.0-draft.1.3mf,8,4,,2026-08-28
PORT-073,MM-ORG-017,Modular pocket-emptying tray with coin slope,P2 Digital print candidate,products/organization-storage/mm-org-017-modular-pocket-emptying-tray,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-017-modular-pocket-emptying-tray/exports/3mf/DRAFT-MM-ORG-017-modular-pocket-emptying-tray-0.1.0-draft.1.3mf,10,4,,2026-08-28
PORT-074,MM-ORG-018,Drawer measurement gauge and clearance coupon kit,P2 Digital print candidate,products/organization-storage/mm-org-018-drawer-measurement-gauge-kit,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-018-drawer-measurement-gauge-kit/exports/3mf/DRAFT-MM-ORG-018-drawer-measurement-gauge-kit-0.1.0-draft.1.3mf,18,4,,2026-08-28
PORT-075,MM-ORG-019,Label-printer tape-cartridge rack,P2 Digital print candidate,products/organization-storage/mm-org-019-label-tape-cartridge-rack,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-019-label-tape-cartridge-rack/exports/3mf/DRAFT-MM-ORG-019-label-tape-cartridge-rack-0.1.0-draft.1.3mf,6,4,,2026-08-28
PORT-076,MM-ORG-020,Wardrobe belt and scarf shelf comb,P2 Digital print candidate,products/organization-storage/mm-org-020-belt-scarf-shelf-comb,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-020-belt-scarf-shelf-comb/exports/3mf/DRAFT-MM-ORG-020-belt-scarf-shelf-comb-0.1.0-draft.1.3mf,7,4,,2026-08-28
PORT-077,MM-ORG-021,Eyeglass-case shelf corral with dividers,P2 Digital print candidate,products/organization-storage/mm-org-021-eyeglass-case-shelf-corral,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-021-eyeglass-case-shelf-corral/exports/3mf/DRAFT-MM-ORG-021-eyeglass-case-shelf-corral-0.1.0-draft.1.3mf,7,4,,2026-08-28
PORT-078,MM-ORG-022,Labelable small-parts bin set,P2 Digital print candidate,products/organization-storage/mm-org-022-labelable-small-parts-bin-set,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-022-labelable-small-parts-bin-set/exports/3mf/DRAFT-MM-ORG-022-labelable-small-parts-bin-set-0.1.0-draft.1.3mf,11,4,,2026-08-28
PORT-079,MM-ORG-023,Page-holder thumb tool,P2 Digital print candidate,products/organization-storage/mm-org-023-page-holder-thumb-tool,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-023-page-holder-thumb-tool/exports/3mf/DRAFT-MM-ORG-023-page-holder-thumb-tool-0.1.0-draft.1.3mf,9,4,,2026-08-28
PORT-080,MM-ORG-024,Deep-shelf pull-tab bin front,P2 Digital print candidate,products/organization-storage/mm-org-024-deep-shelf-pull-tab-bin-front,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-024-deep-shelf-pull-tab-bin-front/exports/3mf/DRAFT-MM-ORG-024-deep-shelf-pull-tab-bin-front-0.1.0-draft.1.3mf,11,4,,2026-08-28
PORT-081,MM-ORG-025,Vertical makeup-palette organizer,P2 Digital print candidate,products/organization-storage/mm-org-025-adjustable-vertical-makeup-palette-organizer,YES,YES — controlled CAD/source + model artifact,YES,YES,YES,products/organization-storage/mm-org-025-adjustable-vertical-makeup-palette-organizer/exports/3mf/DRAFT-MM-ORG-025-adjustable-vertical-makeup-palette-organizer-0.1.0-draft.1.3mf,8,5,,2026-08-28
